event,year,gender,average_age,event_name
4476,1995,F,34.94017946161515,Houston
4476,1995,M,39.29844497607655,Houston
4476,1996,F,34.99823321554771,Houston
4476,1996,M,39.264210860590666,Houston
4476,1997,F,35.04761904761905,Houston
4476,1997,M,39.75218658892128,Houston
4476,1998,F,35.295592705167174,Houston
4476,1998,M,40.36878727634195,Houston
4476,2000,F,36.092277486910994,Houston
4476,2000,M,40.31478432663813,Houston
4476,2001,F,36.261538461538464,Houston
4476,2001,M,41.061859443631036,Houston
4476,2002,F,36.5810147299509,Houston
4476,2002,M,40.77808695652174,Houston
4476,2003,F,36.360987967067764,Houston
4476,2003,M,41.108099386899,Houston
4476,2004,F,36.351528384279476,Houston
4476,2004,M,41.4126488939308,Houston
4476,2005,F,36.601990049751244,Houston
4476,2005,M,41.09779951100244,Houston
4476,2006,F,36.84231738035265,Houston
4476,2006,M,41.659499263622976,Houston
4476,2007,F,36.95002498750625,Houston
4476,2007,M,41.15683853041062,Houston
4476,2008,F,37.28948655256724,Houston
4476,2008,M,41.607900087133316,Houston
4476,2009,F,37.7791932059448,Houston
4476,2009,M,42.083213773314206,Houston
4476,2010,F,37.46855213170114,Houston
4476,2010,M,41.33230452674897,Houston
4476,2011,F,37.855304212168484,Houston
4476,2011,M,41.42583179297597,Houston
4476,2012,F,38.478041756659465,Houston
4476,2012,M,41.909527789385706,Houston
4476,2013,F,38.07638072855464,Houston
4476,2013,M,41.67424798239178,Houston
4476,2014,F,38.05009487666034,Houston
4476,2014,M,42.037231612608494,Houston
4476,2015,F,38.39180445722502,Houston
4476,2015,M,42.14024531358482,Houston
4476,2016,F,38.561630218687874,Houston
4476,2016,M,42.006542845082315,Houston
4476,2017,F,38.753824261828534,Houston
4476,2017,M,42.335200746965455,Houston
4476,2018,F,38.69947604790419,Houston
4476,2018,M,42.107209737827716,Houston
34956,1995,F,33.070517629407355,Grandmas
34956,1995,M,38.0148244473342,Grandmas
34956,1997,F,32.95793269230769,Grandmas
34956,1997,M,37.770850884582984,Grandmas
34956,1998,F,32.85308574549426,Grandmas
34956,1998,M,38.2151431209603,Grandmas
34956,1999,F,27.659685863874344,Grandmas
34956,1999,M,33.96045489790644,Grandmas
34956,2000,F,33.365094339622644,Grandmas
34956,2000,M,38.60819462227913,Grandmas
34956,2001,F,33.67536842105263,Grandmas
34956,2001,M,39.10471834376504,Grandmas
34956,2002,F,33.92485783915516,Grandmas
34956,2002,M,38.84551495016611,Grandmas
34956,2003,F,32.79365079365079,Grandmas
34956,2003,M,38.38108814445236,Grandmas
34956,2004,F,29.85354785478548,Grandmas
34956,2004,M,35.70316361838853,Grandmas
34956,2005,F,33.50120192307692,Grandmas
34956,2005,M,39.41719820458304,Grandmas
34956,2006,F,30.845608507286332,Grandmas
34956,2006,M,36.6218103033221,Grandmas
34956,2007,F,29.45202123315639,Grandmas
34956,2007,M,34.76817752596789,Grandmas
34956,2009,F,28.97582519758252,Grandmas
34956,2009,M,34.08496176720476,Grandmas
34956,2010,F,29.36271186440678,Grandmas
34956,2010,M,34.61266968325792,Grandmas
34956,2011,F,35.020532319391634,Grandmas
34956,2011,M,39.15337423312884,Grandmas
34956,2012,F,34.87850064627316,Grandmas
34956,2012,M,38.88034441805225,Grandmas
34956,2013,F,35.07815198618307,Grandmas
34956,2013,M,39.35623251476531,Grandmas
34956,2014,F,35.044753666792026,Grandmas
34956,2014,M,39.51390922401171,Grandmas
34956,2015,F,36.17274472168906,Grandmas
34956,2015,M,39.512759643916915,Grandmas
34956,2016,F,37.11809903244166,Grandmas
34956,2016,M,40.12799339388935,Grandmas
34956,2017,F,35.89118065433855,Grandmas
34956,2017,M,39.39252061248528,Grandmas
34956,2018,F,35.770564367392105,Grandmas
34956,2018,M,38.93645897594078,Grandmas
34956,2019,F,35.9416695773664,Grandmas
34956,2019,M,38.98676515851031,Grandmas
96107,1996,F,32.99036058550518,Chicago
96107,1996,M,37.08420551855376,Chicago
96107,1997,F,33.648057737210785,Chicago
96107,1997,M,37.70309213294068,Chicago
96107,1998,F,32.96096195025531,Chicago
96107,1998,M,37.320784532440975,Chicago
96107,1999,F,33.124226300358345,Chicago
96107,1999,M,37.41926270342079,Chicago
96107,2000,F,33.23429906542056,Chicago
96107,2000,M,37.51835527110252,Chicago
96107,2002,F,33.342010631644776,Chicago
96107,2002,M,37.68133400256539,Chicago
96107,2003,F,33.249961861174675,Chicago
96107,2003,M,37.54767441860465,Chicago
96107,2005,F,33.68494523587945,Chicago
96107,2005,M,38.104542490762874,Chicago
96107,2006,F,34.327523703290574,Chicago
96107,2006,M,38.54101090401246,Chicago
96107,2007,F,34.25618199802176,Chicago
96107,2007,M,38.24561172835448,Chicago
96107,2008,F,34.18879716071291,Chicago
96107,2008,M,38.07898103989764,Chicago
96107,2009,F,34.047770027478336,Chicago
96107,2009,M,37.95041014168531,Chicago
96107,2010,F,34.93017635532332,Chicago
96107,2010,M,38.40611759842926,Chicago
96107,2011,F,34.996886211331486,Chicago
96107,2011,M,38.61174916150015,Chicago
96107,2015,F,33.93131900747952,Chicago
96107,2015,M,37.7211654589372,Chicago
96107,2016,F,36.25301204819277,Chicago
96107,2016,M,39.93426989812532,Chicago
96107,2017,F,37.50773899848255,Chicago
96107,2017,M,40.82882677488487,Chicago
96107,2018,F,35.894780064671764,Chicago
96107,2018,M,39.31574647402821,Chicago
96107,2019,F,36.15894335134063,Chicago
96107,2019,M,39.21715840133919,Chicago
